photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1269617,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781113177_035ECM_N0601874NCAM02286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269621,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112596_191ECM_N0601874NCAM03286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269622,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112449_112ECM_N0601874NCAM03286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269623,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112449_112ECM_N0601874NCAM03286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269624,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112449_112ECM_N0601874NCAM03286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269628,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112748_113ECM_N0601874NCAM03286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269629,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112748_113ECM_N0601874NCAM03286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269630,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112748_113ECM_N0601874NCAM03286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269637,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112449_112ECM_N0601874NCAM03286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269638,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112596_191ECM_N0601874NCAM03286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269639,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112596_191ECM_N0601874NCAM03286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269640,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112748_113ECM_N0601874NCAM03286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269647,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112596_191ECM_N0601874NCAM03286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269682,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLM_1286_0781112059_491ECM_N0601874NCAM00230_00_2LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
